%time,field.x,field.y,field.z,field.w
2828882000000,0.00161536829459,0.0192388185018,-0.000180838909419,0.999813595499
2828900000000,0.00161538916213,0.0192388134116,-0.000181314738749,0.999813595477
2828919000000,0.00161539780837,0.0192387582169,-0.000181583891402,0.999813596477
2828940000000,0.00161554927041,0.0192388482087,-0.000181705563306,0.999813594478
2828960000000,0.00161537791517,0.01923893289,-0.000181770044447,0.999813593114
2828980000000,0.00161533320434,0.0192388408041,-0.000181801150426,0.999813594952
2829002000000,0.00161532723452,0.0192388152755,-0.000181816565181,0.99981359545
2829020000000,0.00161544633486,0.0192388937687,-0.000181822341968,0.999813593747
2829040000000,0.00161562756815,0.0192389675384,-0.000181823317732,0.999813592034
2829060000000,0.00161560752242,0.0192388782145,-0.000181826202248,0.999813593785
2829080000000,0.00161574943011,0.0192389643665,-0.000181825373878,0.999813591898
2829100000000,0.00161573759441,0.0192388037952,-0.000181826801921,0.999813595006
2829120000000,0.00161573735651,0.019238994264,-0.000181828785553,0.999813591341
2829140000000,0.00161573263552,0.0192391531975,-0.000181799348747,0.999813588296
2829160000000,0.00161595564207,0.0192389161603,-0.000181605918645,0.999813592532
2829180000000,0.00161599778259,0.0192391725316,-0.000181475618399,0.999813587554
2829199000000,0.00161607129183,0.0192389976837,-0.000181421391925,0.99981359081
2829220000000,0.00161621054997,0.0192391307603,-0.000181396882689,0.999813588028
2829240000000,0.00161593422055,0.0192392700892,-0.000181378772202,0.999813585797
2829260000000,0.00161591572246,0.0192394004992,-0.00018138283216,0.999813583317
2829280000000,0.00161593442221,0.0192392332891,-0.000181386485738,0.999813586504
2829299000000,0.00161587138205,0.0192395007461,-0.000181376296778,0.999813581461
2829320000000,0.00161602746104,0.0192393398633,-0.000181382439976,0.999813584303
2829340000000,0.00161607374041,0.0192392427121,-0.000181388154392,0.999813586097
2829360000000,0.00161633575135,0.0192394516104,-0.000181372763444,0.999813581656
2829380000000,0.00161625371723,0.019239455381,-0.000181384383748,0.999813581714
2829400000000,0.00161629435276,0.019239455158,-0.000181390442541,0.999813581652
2829420000000,0.00161630879423,0.0192397791545,-0.000181379996373,0.999813575396
2829440000000,0.00161637875478,0.0192395698762,-0.000181388598239,0.999813579308
2829460000000,0.00161654406506,0.0192396611645,-0.000181392256628,0.999813577283
2829480000000,0.00161647093757,0.0192394030204,-0.000181382675389,0.999813582371
2829499000000,0.00161624004224,0.0192395611587,-0.000181397652364,0.999813579698
2829520000000,0.00161650653689,0.0192394397603,-0.000181398949603,0.999813581603
2829540000000,0.00161636061636,0.0192394910667,-0.00018139109627,0.999813580854
2829560000000,0.00161609077756,0.0192392121775,-0.000181406369413,0.999813586654
2829580000000,0.0016162085701,0.0192389609094,-0.000181410212286,0.999813591298
2829600000000,0.00161617519567,0.0192390560881,-0.000181400183226,0.999813589522
2829620000000,0.00161613304738,0.019238870481,-0.000181411313993,0.99981359316
2829640000000,0.00161602837663,0.0192387868586,-0.000181419508251,0.999813594936
2829659000000,0.00161606975193,0.0192389486811,-0.000181408061376,0.999813591758
2829679000000,0.00161598691412,0.0192388813374,-0.00018142023323,0.999813593185
2829700000000,0.00161588462217,0.0192388097614,-0.000181428263445,0.999813594726
2829720000000,0.00161583266471,0.0192389592866,-0.000181418526322,0.999813591935
2829740000000,0.00161579192878,0.0192390056787,-0.000181430139581,0.999813591106
2829760000000,0.00161579249276,0.0192387996471,-0.000181435888724,0.999813595068
2829780000000,0.00161596403568,0.0192389810652,-0.000181421835723,0.999813591303
2829800000000,0.00161601895769,0.0192388924003,-0.000181431537303,0.999813592918
