%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
2824494000000,0.498015490459,-0.208022551085,-1.5453667481,0.00129787480002,0.0192006185943,-0.000185452137605,0.999814791536
2824497000000,0.498015428693,-0.208022540241,-1.54536676111,0.00129790927859,0.0192005203853,-0.000185464610751,0.999814793375
2824502000000,0.498015467656,-0.208022544041,-1.54536674912,0.00129787836609,0.0192005900247,-0.000185462370461,0.999814792078
2824504000000,0.49801551444,-0.208022550917,-1.54536674904,0.00129787475204,0.0192006186821,-0.000185452384691,0.999814791534
2824511000000,0.498015452676,-0.208022540072,-1.54536676205,0.00129790922421,0.0192005204834,-0.000185464858663,0.999814793373
2824516000000,0.498015491637,-0.208022543873,-1.54536675006,0.00129787831681,0.0192005901144,-0.000185462621971,0.999814792076
2824520000000,0.498015538424,-0.208022550748,-1.54536674998,0.00129787470414,0.0192006187699,-0.00018545263164,0.999814791533
2824524000000,0.498015476662,-0.208022539902,-1.54536676299,0.00129790916982,0.0192005205815,-0.000185465106439,0.999814793371
2824529000000,0.498015515623,-0.208022543704,-1.545366751,0.00129787826763,0.0192005902042,-0.000185462873331,0.999814792075
2824534000000,0.498015562412,-0.20802255058,-1.54536675093,0.00129787465622,0.0192006188575,-0.000185452878486,0.999814791531
2824538000000,0.498015500652,-0.208022539733,-1.54536676393,0.00129790911565,0.0192005206794,-0.000185465354072,0.999814793369
2824542000000,0.498015539611,-0.208022543535,-1.54536675194,0.00129787821842,0.0192005902935,-0.000185463124556,0.999814792073
2824547000000,0.498015586404,-0.208022550411,-1.54536675187,0.00129787460856,0.0192006189453,-0.000185453125107,0.999814791529
2824551000000,0.498015524646,-0.208022539563,-1.54536676487,0.00129790906117,0.0192005207772,-0.000185465601564,0.999814793367
2824556000000,0.498015563604,-0.208022543366,-1.54536675288,0.00129787816947,0.0192005903836,-0.000185463375593,0.999814792071
2824560000000,0.4980156104,-0.208022550242,-1.54536675281,0.00129787456043,0.0192006190321,-0.000185453371805,0.999814791528
2824566000000,0.498015548643,-0.208022539393,-1.54536676581,0.00129790900774,0.0192005208748,-0.000185465848896,0.999814793366
2824569000000,0.498015587599,-0.208022543198,-1.54536675382,0.00129787812007,0.0192005904713,-0.000185463626579,0.99981479207
2824577000000,0.498015634399,-0.208022550073,-1.54536675375,0.00129787451379,0.0192006191212,-0.000185453617722,0.999814791526
2824581000000,0.498015572645,-0.208022539226,-1.54536676674,0.00129790895159,0.0192005209728,-0.000185466096114,0.999814793364
2824588000000,0.498015611602,-0.208022543029,-1.54536675476,0.00129787807221,0.0192005905655,-0.000185463877085,0.999814792068
